trajectory_id,trajectory_length,poly_avg_pos_error_m,poly_worst_pos_error_m,poly_avg_vel_error_ms,poly_worst_vel_error_ms,poly_final_pos_error_m,poly_final_vel_error_ms,nn_avg_pos_error_m,nn_worst_pos_error_m,nn_avg_vel_error_ms,nn_worst_vel_error_ms,nn_final_pos_error_m,nn_final_vel_error_ms,improvement_avg_pos,improvement_worst_pos,improvement_avg_vel,improvement_worst_vel
mj_traj_e0082.txt,95,1.919431,5.951600,4.826017,13.342768,5.951600,5.350610,0.110224,0.158975,0.082592,0.489705,0.114107,0.013939,17.41,37.44,58.43,27.25
traj_937.txt,99,2.448067,7.461437,0.753781,1.551306,7.461437,1.551306,0.101195,0.211374,0.022255,0.028644,0.211374,0.023372,24.19,35.30,33.87,54.16
mj_traj_e0652.txt,96,1.269325,4.936206,5.776906,16.663401,4.936206,9.146134,0.066329,0.161439,0.104902,0.706792,0.161439,0.038116,19.14,30.58,55.07,23.58
traj_154.txt,99,1.290630,2.293767,4.774179,10.019603,0.346312,10.019603,0.139427,0.334727,0.060552,0.642828,0.334727,0.053025,9.26,6.85,78.84,15.59
traj_523.txt,99,0.825677,1.393600,12.547435,25.661359,0.628540,25.661359,0.084789,0.156448,0.062254,0.171840,0.156448,0.097842,9.74,8.91,201.55,149.33
traj_926.txt,99,0.766506,1.377623,11.413761,23.157851,1.377623,23.157851,0.254737,0.602698,0.153337,0.692048,0.602698,0.203734,3.01,2.29,74.44,33.46
traj_943.txt,99,0.987813,2.052499,0.953289,1.960538,0.317017,1.960538,0.065891,0.131010,0.014155,0.021635,0.131010,0.013398,14.99,15.67,67.35,90.62
traj_517.txt,99,4.282752,8.594321,2.625423,5.498932,1.678858,5.498932,0.062376,0.122994,0.022735,0.055732,0.121466,0.003008,68.66,69.88,115.48,98.67
mj_traj_e1797.txt,97,1.311471,3.968554,3.172464,12.246349,1.481907,4.399005,0.077436,0.183385,0.075530,0.246703,0.183385,0.021563,16.94,21.64,42.00,49.64
mj_traj_e1613.txt,91,1.262154,2.698626,6.226600,16.321307,1.468858,12.909842,0.066423,0.136564,0.085274,0.672974,0.126542,0.133144,19.00,19.76,73.02,24.25
traj_601.txt,99,0.806611,1.492690,9.127759,18.831714,0.508027,18.831714,0.135010,0.223527,0.057166,0.161301,0.142398,0.030418,5.97,6.68,159.67,116.75
traj_790.txt,99,4.621309,9.164077,2.688631,5.669047,2.765201,5.669047,0.102041,0.200320,0.028400,0.067429,0.200320,0.046368,45.29,45.75,94.67,84.07
mj_traj_e0851.txt,94,1.570507,4.188073,4.803820,15.008858,1.883015,13.969952,0.086369,0.142762,0.074036,0.310369,0.114800,0.053800,18.18,29.34,64.88,48.36
mj_traj_e0197.txt,94,1.097268,3.522212,3.319723,12.405924,2.931957,4.226100,0.043691,0.092029,0.068183,0.375057,0.092029,0.001824,25.11,38.27,48.69,33.08
mj_traj_e0680.txt,97,1.102776,4.254649,5.648835,12.125177,4.254649,8.396749,0.021214,0.058921,0.095217,0.421578,0.015481,0.047807,51.98,72.21,59.33,28.76
traj_728.txt,99,0.738490,1.430088,12.012305,24.680576,0.865369,24.680576,0.095705,0.164829,0.076478,0.321666,0.145676,0.084623,7.72,8.68,157.07,76.73
mj_traj_e1238.txt,94,2.652109,6.471720,4.331093,13.551082,6.471720,7.219368,0.167840,0.282683,0.084331,0.430006,0.282683,0.021845,15.80,22.89,51.36,31.51
traj_686.txt,99,0.794897,1.487910,10.570081,21.801432,0.814358,21.801432,0.222544,0.365165,0.080166,0.269071,0.110822,0.053590,3.57,4.07,131.85,81.02
mj_traj_e1150.txt,95,1.740092,5.544360,5.360017,15.256494,3.666937,15.256494,0.152719,0.276931,0.115511,0.462036,0.269280,0.064584,11.39,20.02,46.40,33.02
traj_624.txt,99,1.088189,2.002050,1.623784,3.348764,1.121897,3.348764,0.014504,0.027416,0.006021,0.022647,0.027416,0.003830,75.03,73.03,269.67,147.87
mj_traj_e0475.txt,97,2.489005,5.207128,7.643108,19.605500,5.043665,15.160378,0.065811,0.131888,0.091091,0.373127,0.130251,0.004053,37.82,39.48,83.91,52.54
mj_traj_e0696.txt,95,1.695697,5.238178,6.051818,16.636080,4.824514,15.818536,0.083860,0.150944,0.084097,0.427391,0.150944,0.045749,20.22,34.70,71.96,38.92
traj_824.txt,99,0.907717,1.652994,7.074018,14.728927,0.750465,14.728927,0.215539,0.364034,0.104590,0.345536,0.117897,0.046017,4.21,4.54,67.64,42.63
mj_traj_e0113.txt,94,1.516288,4.946920,3.279540,7.985167,4.069694,5.555283,0.041034,0.111771,0.089025,0.504571,0.100254,0.035191,36.95,44.26,36.84,15.83
traj_844.txt,99,0.521966,1.155686,0.398914,0.812834,1.147554,0.812834,0.087383,0.183154,0.029838,0.032915,0.183154,0.032517,5.97,6.31,13.37,24.70
mj_traj_e1055.txt,93,1.664529,3.894459,5.234293,16.427652,3.819608,9.893708,0.044931,0.125705,0.101343,0.752401,0.125705,0.068294,37.05,30.98,51.65,21.83
mj_traj_e1312.txt,95,1.323644,4.397435,5.812213,14.315534,2.715476,6.774881,0.165142,0.238189,0.072818,0.292095,0.238189,0.024772,8.02,18.46,79.82,49.01
mj_traj_e1440.txt,97,0.885341,4.352399,4.240065,15.414547,4.352399,5.072483,0.043059,0.081890,0.064226,0.245157,0.033487,0.022950,20.56,53.15,66.02,62.88
mj_traj_e1999.txt,97,1.710611,4.362403,4.323585,15.722331,3.004029,15.722331,0.141588,0.235728,0.099711,0.508616,0.235728,0.095598,12.08,18.51,43.36,30.91
traj_472.txt,99,0.180549,0.542210,0.065819,0.133852,0.542210,0.133852,0.019956,0.037755,0.011015,0.011776,0.037755,0.011595,9.05,14.36,5.98,11.37
traj_867.txt,99,0.013010,0.037153,0.013417,0.026343,0.037153,0.026343,0.037222,0.075354,0.012172,0.012603,0.075354,0.012574,0.35,0.49,1.10,2.09
mj_traj_e0076.txt,97,1.202081,3.542334,5.440673,18.822402,2.447646,5.698615,0.030889,0.078985,0.076069,0.198356,0.059052,0.058154,38.92,44.85,71.52,94.89
traj_440.txt,99,0.397230,1.156837,0.179985,0.368317,1.156837,0.368317,0.102346,0.214589,0.031848,0.035868,0.214589,0.033810,3.88,5.39,5.65,10.27
mj_traj_e1359.txt,98,1.736072,7.021109,5.657225,21.358729,7.021109,8.315878,0.047928,0.102391,0.074425,0.409673,0.098735,0.064576,36.22,68.57,76.01,52.14
mj_traj_e0831.txt,91,1.210578,4.029099,3.687454,15.145251,3.403221,15.145251,0.036022,0.070929,0.094282,0.569745,0.070929,0.228660,33.61,56.80,39.11,26.58
mj_traj_e1251.txt,92,2.370511,5.090411,5.472430,17.441511,3.811527,8.870805,0.169661,0.269275,0.106576,0.740275,0.233639,0.254624,13.97,18.90,51.35,23.56
traj_110.txt,99,0.748183,1.804338,0.399959,0.831508,1.804338,0.831508,0.010099,0.022316,0.007710,0.015228,0.021950,0.015228,74.08,80.86,51.87,54.60
